"collection_id","Description","State","Start Time","Elapsed Time","User"
"127PB_Phase_3_full_model_v2","train_aks-9cd13531977f45ccbe017d001743cba6","Success","6/14/2022","3 m, 30 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-d78a24c4ea4041148940db10ef47436e","Success","6/14/2022","33 m, 44 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-88223c49d9964bbaa58981c36cfd1cea","Success","6/14/2022","5 m, 3 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-c2e5288bbe684da69b88d1ddb310193b","Success","6/14/2022","3 m, 21 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-ffefd93babd8440ba2c3720bdd4e381e","Success","6/14/2022","3 m, 21 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-52272f9071f64bca80e395a4fb3131f6","Success","6/14/2022","30 m, 42 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-ec9e316cdd254dd98d8c23c73bbdaa9a","Success","6/14/2022","5 m, 36 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-20a42e29ac2549b9857a6a00ee38a1c9","Success","6/14/2022","38 m, 4 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-77f6d51e2ce14917aa5812cf4b9746fb","Success","6/14/2022","3 h, 20 m, 59 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-dfced39d7ca94cfb92fd67dc310f6c92","Success","6/14/2022","47 m, 22 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-29ff647ad5c44718bda9433883e7c1a6","Failure","6/14/2022","37 m, 53 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-80776ed7770849309602026b4e97c8b3","Success","6/14/2022","31 s"," Not found"
"127PB_Phase_3_full_model_v2","train_aks-ef939f823f6c42c6b2b3fedbd1fcead5","Success","6/14/2022","31 s"," Not found"
"127PB_Phase_3_full_model_v2","train_aks-51e28b66774c4c0fb39b6aabcfd5671e","Success","6/14/2022","31 s"," Not found"
"127PB_Phase_3_full_model_v2","train_aks-ea8fa6671d54448495255293835f95e2","Failure","5/24/2022","11 h, 48 m, 49 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-5a1c9cec137a465285c4843876294b18","Success","5/24/2022","1 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-f0b136c6599e49cf88b21ccc74dd6445","Success","5/16/2022","6 h, 44 s"," huandinh2022"
"127PB_Phase_3_full_model_v2","train_aks-776fbb8609ea45eab1b631c78a5091e3","Failure","5/12/2022","1 h, 29 m, 19 s"," huandinh2022"
