"Job ID","Description","State","Start Time","Elapsed Time","User"
"train_aks-d394a96160774bb3891cad39891e4306","train-3","Success","6/14/2022","8 m, 4 s"," huandinh2022"
"train_aks-7709256c54384b29ab3ad2d3ddf0c495","compress-1","Success","6/14/2022","0 s"," huandinh2022"
"train_aks-7709256c54384b29ab3ad2d3ddf0c495","RB-FEA","Solve","Success","20 m, 18 s"," huandinh2022"
"train_aks-7709256c54384b29ab3ad2d3ddf0c495","compress-2","Success","6/14/2022","1 s"," huandinh2022"
"train_aks-7709256c54384b29ab3ad2d3ddf0c495","train-3","Success","6/14/2022","19 m, 32 s"," huandinh2022"
"train_aks-ea654d3f67a44c10bdebc9e497c7dfd0","compress-1","Success","6/14/2022","2 s"," huandinh2022"
"train_aks-ea654d3f67a44c10bdebc9e497c7dfd0","RB-FEA","Solve","Success","15 m, 53 s"," huandinh2022"
"train_aks-ea654d3f67a44c10bdebc9e497c7dfd0","compress-2","Success","6/14/2022","2 s"," huandinh2022"
"train_aks-ea654d3f67a44c10bdebc9e497c7dfd0","train-3","Success","6/14/2022","14 m, 41 s"," huandinh2022"
"train_aks-32bdfc7410014c928318cf9ece041494","compress-1","Success","6/14/2022","1 s"," huandinh2022"
"train_aks-32bdfc7410014c928318cf9ece041494","RB-FEA","Solve","Success","20 m, 22 s"," huandinh2022"
"train_aks-32bdfc7410014c928318cf9ece041494","compress-2","Success","6/14/2022","2 s"," huandinh2022"
"train_aks-32bdfc7410014c928318cf9ece041494","train-3","Success","6/14/2022","19 m, 42 s"," huandinh2022"
"train_aks-3be9f83142374384804cf863c0214b3c","compress-1","Success","6/14/2022","0 s"," huandinh2022"
"train_aks-3be9f83142374384804cf863c0214b3c","RB-FEA","Solve","Success","15 m, 59 s"," huandinh2022"
"train_aks-3be9f83142374384804cf863c0214b3c","compress-2","Success","6/14/2022","1 s"," huandinh2022"
"train_aks-3be9f83142374384804cf863c0214b3c","train-3","Success","6/14/2022","15 m, 38 s"," huandinh2022"
"train_aks-10070563d98146de88998b760c06189a","compress-1","Success","6/14/2022","2 s"," huandinh2022"
"train_aks-10070563d98146de88998b760c06189a","RB-FEA","Solve","Success","46 m, 47 s"," huandinh2022"
"train_aks-10070563d98146de88998b760c06189a","compress-2","Success","6/14/2022","2 s"," huandinh2022"
"train_aks-10070563d98146de88998b760c06189a","train-3","Success","6/14/2022","46 m, 59 s"," huandinh2022"
"train_aks-e9f23e18c6ca4c49b949cf8a03065c39","compress-1","Success","6/14/2022","0 s"," huandinh2022"
"train_aks-e9f23e18c6ca4c49b949cf8a03065c39","RB-FEA","Solve","Success","20 m, 36 s"," huandinh2022"
"train_aks-e9f23e18c6ca4c49b949cf8a03065c39","compress-2","Success","6/14/2022","1 s"," huandinh2022"
"train_aks-e9f23e18c6ca4c49b949cf8a03065c39","train-3","Success","6/14/2022","19 m, 11 s"," huandinh2022"
"train_aks-9d5bb25a6e7a4807811c96da35c49d00","compress-1","Success","6/14/2022","2 s"," huandinh2022"
"train_aks-9d5bb25a6e7a4807811c96da35c49d00","RB-FEA","Solve","Success","4 m, 48 s"," huandinh2022"
"train_aks-9d5bb25a6e7a4807811c96da35c49d00","compress-2","Success","6/14/2022","0 s"," huandinh2022"
"train_aks-9d5bb25a6e7a4807811c96da35c49d00","train-3","Success","6/14/2022","6 m, 25 s"," huandinh2022"
"train_aks-9cd13531977f45ccbe017d001743cba6","compress-1","Success","6/14/2022","2 s"," huandinh2022"
"train_aks-9cd13531977f45ccbe017d001743cba6","RB-FEA","Solve","Success","1 m, 58 s"," huandinh2022"
"train_aks-9cd13531977f45ccbe017d001743cba6","compress-2","Success","6/14/2022","2 s"," huandinh2022"
"train_aks-9cd13531977f45ccbe017d001743cba6","train-3","Success","6/14/2022","1 m, 18 s"," huandinh2022"
"train_aks-d78a24c4ea4041148940db10ef47436e","compress-1","Success","6/14/2022","0 s"," huandinh2022"
"train_aks-d78a24c4ea4041148940db10ef47436e","RB-FEA","Solve","Success","33 m, 36 s"," huandinh2022"
"train_aks-d78a24c4ea4041148940db10ef47436e","compress-2","Success","6/14/2022","2 s"," huandinh2022"
